actor_id,movie_id
367,457400
534,457400
509,2333784
98,2333784
118,2333784
535,362165
536,362165
537,362165
538,1390411
23,1390411
539,1390411
540,180052
298,180052
541,180052
542,947810
344,947810
543,947810
544,2452042
545,2452042
546,2452042
547,120176
548,120176
549,120176
157,209163
323,209163
550,209163
65,217505
61,217505
119,217505
551,1410063
10,1410063
552,1410063
553,423294
153,423294
554,423294
276,327162
555,327162
556,327162
313,265086
395,265086
107,265086
557,1790886
367,1790886
558,1790886
296,119116
559,119116
138,119116
560,1261945
561,1261945
562,1261945
563,138749
564,138749
565,138749
254,1667889
41,1667889
566,1667889
341,266543
567,266543
20,266543
469,167260
4,167260
568,167260
4,167261
58,167261
469,167261
205,1121096
153,1121096
569,1121096
166,146316
176,146316
570,146316
147,2209764
5,2209764
113,2209764
571,163025
572,163025
573,163025
574,1318514
70,1318514
78,1318514
575,416236
292,416236
576,416236
577,1606378
296,1606378
578,1606378
579,317705
580,317705
581,317705
33,112760
582,112760
583,112760
298,814255
357,814255
248,814255
277,119654
46,119654
584,119654
93,120363
94,120363
300,120363
298,477080
492,477080
585,477080
586,266915
587,266915
588,266915
589,161081
118,161081
590,161081
534,844471
591,844471
592,844471
593,1080016
594,1080016
595,1080016
596,359950
442,359950
597,359950
598,160127
599,160127
600,160127
344,407887
61,407887
117,407887
601,120762
324,120762
602,120762
248,942385
22,942385
603,942385
604,1568346
137,1568346
605,1568346
606,112864
296,112864
607,112864
108,988045
22,988045
608,988045
609,230011
309,230011
610,230011
611,2974918
612,2974918
613,2974918
37,985699
165,985699
87,985699
614,960144
615,960144
616,960144
615,2120120
41,2120120
254,2120120
54,212720
617,212720
618,212720
619,338094
620,338094
621,338094
622,118884
207,118884
623,118884
624,164052
625,164052
597,164052
626,373926
627,373926
628,373926
629,1854564
357,1854564
603,1854564
176,325703
200,325703
205,325703
147,3110958
25,3110958
630,3110958
631,120053
632,120053
633,120053
634,266987
100,266987
635,266987
485,183523
74,183523
636,183523
637,1436562
206,1436562
